t,Approximate y,h,Actual y,Error
1.0,4.0,0.1,64.0,60.0
1.1,4.2,0.1,67.4041,63.2041
1.2,4.425433,0.1,71.2336,66.808167
1.3,4.677873,0.1,75.5161,70.838227
1.4,4.959043,0.1,80.2816,75.322557
1.5,5.270807,0.1,85.5625,80.291693
1.0,4.0,0.05,64.0,60.0
1.05,4.1,0.05,65.70205,61.60205
1.1,4.206304,0.05,67.4041,63.197796
1.15,4.319105,0.05,69.31885,64.999745
1.2,4.438605,0.05,71.2336,66.794995
1.25,4.565013,0.05,73.37485,68.809837
1.3,4.698549,0.05,75.5161,70.817551
1.35,4.839444,0.05,77.89885,73.059406
1.4,4.987936,0.05,80.2816,75.293664
1.45,5.144272,0.05,82.92205,77.777778
1.5,5.308709,0.05,85.5625,80.253791
